word,vector
"буйке
",[ 2. 21. 11. 12.  6.  0.]
"чаями
",[25.  1. 33. 14. 10.  0.]
"вкуса
",[ 3. 12. 21. 19.  1.  0.]
"извин
",[10.  9.  3. 10. 15.  0.]
"даёте
",[ 5.  1.  7. 20.  6.  0.]
"дерев
",[ 5.  6. 18.  6.  3.  0.]
"борой
",[ 2. 16. 18. 16. 11.  0.]
"миска
",[14. 10. 19. 12.  1.  0.]
"сунжа
",[19. 21. 15.  8.  1.  0.]
"назло
",[15.  1.  9. 13. 16.  0.]
"завах
",[ 9.  1.  3.  1. 23.  0.]
"цапок
",[24.  1. 17. 16. 12.  0.]
"бурею
",[ 2. 21. 18.  6. 32.  0.]
"ушкуи
",[21. 26. 12. 21. 10.  0.]
"козач
",[12. 16.  9.  1. 25.  0.]
"визир
",[ 3. 10.  9. 10. 18.  0.]
"отела
",[16. 20.  6. 13.  1.  0.]
"сбоев
",[19.  2. 16.  6.  3.  0.]
"банты
",[ 2.  1. 15. 20. 29.  0.]
"терем
",[20.  6. 18.  6. 14.  0.]
"логин
",[13. 16.  4. 10. 15.  0.]
"папаш
",[17.  1. 17.  1. 26.  0.]
"аллеи
",[ 1. 13. 13.  6. 10.  0.]
"обучу
",[16.  2. 21. 25. 21.  0.]
"полых
",[17. 16. 13. 29. 23.  0.]
"порею
",[17. 16. 18.  6. 32.  0.]
"семин
",[19.  6. 14. 10. 15.  0.]
"отвод
",[16. 20.  3. 16.  5.  0.]
"зваль
",[ 9.  3.  1. 13. 28.  0.]
"тырле
",[20. 29. 18. 13.  6.  0.]
"прице
",[17. 18. 10. 24.  6.  0.]
"обмыл
",[16.  2. 14. 29. 13.  0.]
"мышца
",[14. 29. 26. 24.  1.  0.]
"трест
",[20. 18.  6. 19. 20.  0.]
"чужом
",[25. 21.  8. 16. 14.  0.]
"раису
",[18.  1. 10. 19. 21.  0.]
"витьё
",[ 3. 10. 20. 28.  7.  0.]
"батик
",[ 2.  1. 20. 10. 12.  0.]
"отчую
",[16. 20. 25. 21. 32.  0.]
"гамбр
",[ 4.  1. 14.  2. 18.  0.]
"омрак
",[16. 14. 18.  1. 12.  0.]
"изрёк
",[10.  9. 18.  7. 12.  0.]
"морса
",[14. 16. 18. 19.  1.  0.]
"увело
",[21.  3.  6. 13. 16.  0.]
"груба
",[ 4. 18. 21.  2.  1.  0.]
"отцах
",[16. 20. 24.  1. 23.  0.]
"ввозя
",[ 3.  3. 16.  9. 33.  0.]
"уютен
",[21. 32. 20.  6. 15.  0.]
"тюком
",[20. 32. 12. 16. 14.  0.]
"птицу
",[17. 20. 10. 24. 21.  0.]
"бочаг
",[ 2. 16. 25.  1.  4.  0.]
"опись
",[16. 17. 10. 19. 28.  0.]
"золой
",[ 9. 16. 13. 16. 11.  0.]
"свёкл
",[19.  3.  7. 12. 13.  0.]
"рюшем
",[18. 32. 26.  6. 14.  0.]
"вывал
",[ 3. 29.  3.  1. 13.  0.]
"мелел
",[14.  6. 13.  6. 13.  0.]
"фрице
",[22. 18. 10. 24.  6.  0.]
"трёшь
",[20. 18.  7. 26. 28.  0.]
"мелью
",[14.  6. 13. 28. 32.  0.]
"гуком
",[ 4. 21. 12. 16. 14.  0.]
"чтили
",[25. 20. 10. 13. 10.  0.]
"возяс
",[ 3. 16.  9. 33. 19.  0.]
"митей
",[14. 10. 20.  6. 11.  0.]
"ручей
",[18. 21. 25.  6. 11.  0.]
"смыла
",[19. 14. 29. 13.  1.  0.]
"скопу
",[19. 12. 16. 17. 21.  0.]
"липом
",[13. 10. 17. 16. 14.  0.]
"лихом
",[13. 10. 23. 16. 14.  0.]
"догму
",[ 5. 16.  4. 14. 21.  0.]
"орлам
",[16. 18. 13.  1. 14.  0.]
"ленью
",[13.  6. 15. 28. 32.  0.]
"окола
",[16. 12. 16. 13.  1.  0.]
"плясу
",[17. 13. 33. 19. 21.  0.]
"перта
",[17.  6. 18. 20.  1.  0.]
"фелон
",[22.  6. 13. 16. 15.  0.]
"казни
",[12.  1.  9. 15. 10.  0.]
"фимоз
",[22. 10. 14. 16.  9.  0.]
"помри
",[17. 16. 14. 18. 10.  0.]
"цугом
",[24. 21.  4. 16. 14.  0.]
"рейсе
",[18.  6. 11. 19.  6.  0.]
"плюха
",[17. 13. 32. 23.  1.  0.]
"колюч
",[12. 16. 13. 32. 25.  0.]
"мелом
",[14.  6. 13. 16. 14.  0.]
"мусин
",[14. 21. 19. 10. 15.  0.]
"своег
",[19.  3. 16.  6.  4.  0.]
"этово
",[31. 20. 16.  3. 16.  0.]
"метки
",[14.  6. 20. 12. 10.  0.]
"обсох
",[16.  2. 19. 16. 23.  0.]
"ненцу
",[15.  6. 15. 24. 21.  0.]
"дудки
",[ 5. 21.  5. 12. 10.  0.]
"отним
",[16. 20. 15. 10. 14.  0.]
"обозы
",[16.  2. 16.  9. 29.  0.]
"довёз
",[ 5. 16.  3.  7.  9.  0.]
"ничьё
",[15. 10. 25. 28.  7.  0.]
"псица
",[17. 19. 10. 24.  1.  0.]
"ссори
",[19. 19. 16. 18. 10.  0.]
"ценим
",[24.  6. 15. 10. 14.  0.]
"выяви
",[ 3. 29. 33.  3. 10.  0.]
"шифру
",[26. 10. 22. 18. 21.  0.]
"белом
",[ 2.  6. 13. 16. 14.  0.]
"амилу
",[ 1. 14. 10. 13. 21.  0.]
